villcode,county,district,village,agree_2025,disagree_2025,2021_agree,2021_disagree,agree_diff,disagree_diff,agree_pct_change,disagree_pct_change
10004050003,新竹縣,湖口鄉,愛勢村,1121,168,998,559,123,-391,12.325,-69.946
10004050002,新竹縣,湖口鄉,仁勢村,250,37,230,148,20,-111,8.696,-75.0
10004050001,新竹縣,湖口鄉,孝勢村,367,68,346,171,21,-103,6.069,-60.234
10004050005,新竹縣,湖口鄉,中勢村,1073,153,805,442,268,-289,33.292,-65.385
10004050018,新竹縣,湖口鄉,中正村,1233,195,843,505,390,-310,46.263,-61.386
10004050004,新竹縣,湖口鄉,信勢村,1472,213,1231,709,241,-496,19.578,-69.958
10004050017,新竹縣,湖口鄉,信義村,1229,200,880,536,349,-336,39.659,-62.687
10004050013,新竹縣,湖口鄉,波羅村,623,107,459,287,164,-180,35.73,-62.718
10004050008,新竹縣,湖口鄉,長嶺村,846,129,720,396,126,-267,17.5,-67.424
10004050009,新竹縣,湖口鄉,長安村,250,45,219,152,31,-107,14.155,-70.395
10004050010,新竹縣,湖口鄉,湖口村,733,125,658,405,75,-280,11.398,-69.136
10004050011,新竹縣,湖口鄉,湖鏡村,739,87,734,268,5,-181,0.681,-67.537
10004050012,新竹縣,湖口鄉,湖南村,442,62,418,188,24,-126,5.742,-67.021
10004050016,新竹縣,湖口鄉,中興村,1679,222,1339,547,340,-325,25.392,-59.415
10004050014,新竹縣,湖口鄉,鳳凰村,1328,185,1064,553,264,-368,24.812,-66.546
10004050020,新竹縣,湖口鄉,勝利村,1141,145,950,416,191,-271,20.105,-65.144
10004050015,新竹縣,湖口鄉,鳳山村,941,118,848,323,93,-205,10.967,-63.467
10004060001,新竹縣,新豐鄉,福興村,278,55,237,163,41,-108,17.3,-66.258
10004060003,新竹縣,新豐鄉,青埔村,502,74,387,259,115,-185,29.716,-71.429
10004060007,新竹縣,新豐鄉,中崙村,835,130,687,406,148,-276,21.543,-67.98
10004060005,新竹縣,新豐鄉,瑞興村,410,75,349,226,61,-151,17.479,-66.814
10004060002,新竹縣,新豐鄉,後湖村,426,82,351,275,75,-193,21.368,-70.182
10004060006,新竹縣,新豐鄉,坡頭村,146,32,123,187,23,-155,18.699,-82.888
10004060004,新竹縣,新豐鄉,埔和村,542,167,434,580,108,-413,24.885,-71.207
10004060009,新竹縣,新豐鄉,新豐村,405,107,340,388,65,-281,19.118,-72.423
10004060010,新竹縣,新豐鄉,員山村,843,110,651,332,192,-222,29.493,-66.867
10004060014,新竹縣,新豐鄉,忠孝村,971,134,866,479,105,-345,12.125,-72.025
10004060015,新竹縣,新豐鄉,山崎村,1190,195,1095,614,95,-419,8.676,-68.241
10004060012,新竹縣,新豐鄉,上坑村,446,64,364,207,82,-143,22.527,-69.082
10004060013,新竹縣,新豐鄉,鳳坑村,264,62,246,153,18,-91,7.317,-59.477
10004060008,新竹縣,新豐鄉,重興村,1287,163,1088,669,199,-506,18.29,-75.635
10004060017,新竹縣,新豐鄉,崎頂村,833,152,620,374,213,-222,34.355,-59.358
10004060011,新竹縣,新豐鄉,松林村,1233,187,1092,611,141,-424,12.912,-69.394
10004060016,新竹縣,新豐鄉,松柏村,1831,276,1275,752,556,-476,43.608,-63.298
10004070002,新竹縣,芎林鄉,華龍村,112,13,118,49,-6,-36,-5.085,-73.469
10004070001,新竹縣,芎林鄉,五龍村,151,17,139,61,12,-44,8.633,-72.131
10004070003,新竹縣,芎林鄉,秀湖村,289,25,267,95,22,-70,8.24,-73.684
10004070004,新竹縣,芎林鄉,永興村,133,19,118,38,15,-19,12.712,-50.0
10004070005,新竹縣,芎林鄉,石潭村,739,107,687,333,52,-226,7.569,-67.868
10004070006,新竹縣,芎林鄉,新鳳村,387,84,378,210,9,-126,2.381,-60.0
10004070007,新竹縣,芎林鄉,中坑村,154,13,176,63,-22,-50,-12.5,-79.365
10004070008,新竹縣,芎林鄉,水坑村,215,31,192,117,23,-86,11.979,-73.504
10004070009,新竹縣,芎林鄉,文林村,762,99,655,269,107,-170,16.336,-63.197
10004070010,新竹縣,芎林鄉,芎林村,465,100,406,252,59,-152,14.532,-60.317
10004070011,新竹縣,芎林鄉,上山村,1692,333,1213,777,479,-444,39.489,-57.143
10004070012,新竹縣,芎林鄉,下山村,423,75,300,183,123,-108,41.0,-59.016
10004080001,新竹縣,橫山鄉,橫山村,1212,264,833,383,379,-119,45.498,-31.07
10004080002,新竹縣,橫山鄉,田寮村,324,99,213,131,111,-32,52.113,-24.427
10004080003,新竹縣,橫山鄉,南昌村,63,15,57,23,6,-8,10.526,-34.783
10004080004,新竹縣,橫山鄉,豐鄉村,59,25,41,34,18,-9,43.902,-26.471
10004080005,新竹縣,橫山鄉,豐田村,106,35,79,42,27,-7,34.177,-16.667
10004080006,新竹縣,橫山鄉,內灣村,283,91,229,109,54,-18,23.581,-16.514
10004080011,新竹縣,橫山鄉,力行村,313,73,248,91,65,-18,26.21,-19.78
10004080007,新竹縣,橫山鄉,福興村,133,33,103,58,30,-25,29.126,-43.103
10004080008,新竹縣,橫山鄉,沙坑村,312,98,266,141,46,-43,17.293,-30.496
10004080009,新竹縣,橫山鄉,新興村,585,125,466,160,119,-35,25.536,-21.875
10004080010,新竹縣,橫山鄉,大肚村,653,119,452,153,201,-34,44.469,-22.222
10004090001,新竹縣,北埔鄉,北埔村,381,89,274,139,107,-50,39.051,-35.971
10004090002,新竹縣,北埔鄉,南興村,412,94,291,124,121,-30,41.581,-24.194
10004090007,新竹縣,北埔鄉,大湖村,194,39,128,57,66,-18,51.562,-31.579
10004090003,新竹縣,北埔鄉,埔尾村,893,214,624,309,269,-95,43.109,-30.744
10004090004,新竹縣,北埔鄉,水磜村,278,72,167,114,111,-42,66.467,-36.842
10004090005,新竹縣,北埔鄉,南埔村,150,38,129,49,21,-11,16.279,-22.449
10004090006,新竹縣,北埔鄉,大林村,307,66,196,75,111,-9,56.633,-12.0
10004090008,新竹縣,北埔鄉,南坑村,118,30,97,45,21,-15,21.649,-33.333
10004090009,新竹縣,北埔鄉,外坪村,87,33,73,48,14,-15,19.178,-31.25
10004100010,新竹縣,寶山鄉,雙新村,852,267,661,369,191,-102,28.896,-27.642
10004100001,新竹縣,寶山鄉,雙溪村,886,263,605,411,281,-148,46.446,-36.01
10004100002,新竹縣,寶山鄉,大崎村,726,196,559,318,167,-122,29.875,-38.365
10004100003,新竹縣,寶山鄉,三峰村,356,100,240,154,116,-54,48.333,-35.065
10004100004,新竹縣,寶山鄉,新城村,382,119,255,170,127,-51,49.804,-30.0
10004100006,新竹縣,寶山鄉,寶斗村,223,43,155,74,68,-31,43.871,-41.892
10004100005,新竹縣,寶山鄉,深井村,277,57,210,117,67,-60,31.905,-51.282
10004100008,新竹縣,寶山鄉,寶山村,405,116,229,113,176,3,76.856,2.655
10004100009,新竹縣,寶山鄉,油田村,242,58,164,86,78,-28,47.561,-32.558
10004100007,新竹縣,寶山鄉,山湖村,202,64,159,90,43,-26,27.044,-28.889
10004110001,新竹縣,峨眉鄉,峨眉村,310,62,265,101,45,-39,16.981,-38.614
10004110002,新竹縣,峨眉鄉,中盛村,223,77,154,115,69,-38,44.805,-33.043
10004110003,新竹縣,峨眉鄉,石井村,198,58,160,82,38,-24,23.75,-29.268
10004110005,新竹縣,峨眉鄉,七星村,195,45,154,94,41,-49,26.623,-52.128
10004110004,新竹縣,峨眉鄉,富興村,444,125,323,171,121,-46,37.461,-26.901
10004110006,新竹縣,峨眉鄉,湖光村,262,105,185,142,77,-37,41.622,-26.056
10004120002,新竹縣,尖石鄉,嘉樂村,193,31,205,62,-12,-31,-5.854,-50.0
10004120001,新竹縣,尖石鄉,義興村,138,20,123,45,15,-25,12.195,-55.556
10004120003,新竹縣,尖石鄉,新樂村,275,27,262,48,13,-21,4.962,-43.75
10004120005,新竹縣,尖石鄉,錦屏村,249,19,204,53,45,-34,22.059,-64.151
10004120004,新竹縣,尖石鄉,梅花村,147,36,165,36,-18,0,-10.909,0.0
10004120006,新竹縣,尖石鄉,玉峰村,154,60,159,83,-5,-23,-3.145,-27.711
10004120007,新竹縣,尖石鄉,秀巒村,135,27,193,67,-58,-40,-30.052,-59.701
10004130001,新竹縣,五峰鄉,大隘村,288,39,302,42,-14,-3,-4.636,-7.143
10004130004,新竹縣,五峰鄉,桃山村,233,60,249,108,-16,-48,-6.426,-44.444
10004130002,新竹縣,五峰鄉,花園村,126,25,148,56,-22,-31,-14.865,-55.357
10004130003,新竹縣,五峰鄉,竹林村,70,11,77,23,-7,-12,-9.091,-52.174
10010080001,嘉義縣,六腳鄉,蒜頭村,205,82,176,263,29,-181,16.477,-68.821
10010080002,嘉義縣,六腳鄉,蒜東村,126,42,99,174,27,-132,27.273,-75.862
10010080003,嘉義縣,六腳鄉,蒜南村,125,71,97,224,28,-153,28.866,-68.304
10010080004,嘉義縣,六腳鄉,工廠村,67,5,59,40,8,-35,13.559,-87.5
10010080005,嘉義縣,六腳鄉,灣南村,196,71,142,284,54,-213,38.028,-75.0
10010080006,嘉義縣,六腳鄉,灣北村,175,57,159,207,16,-150,10.063,-72.464
10010080007,嘉義縣,六腳鄉,雙涵村,82,28,86,241,-4,-213,-4.651,-88.382
10010080008,嘉義縣,六腳鄉,塗師村,49,40,64,177,-15,-137,-23.438,-77.401
10010080009,嘉義縣,六腳鄉,三義村,63,58,63,199,0,-141,0.0,-70.854
10010080019,嘉義縣,六腳鄉,正義村,159,145,146,449,13,-304,8.904,-67.706
10010080020,嘉義縣,六腳鄉,溪厝村,81,45,63,156,18,-111,28.571,-71.154
10010080010,嘉義縣,六腳鄉,港美村,65,55,39,224,26,-169,66.667,-75.446
10010080011,嘉義縣,六腳鄉,豐美村,104,52,101,295,3,-243,2.97,-82.373
10010080012,嘉義縣,六腳鄉,六斗村,147,45,99,209,48,-164,48.485,-78.469
10010080013,嘉義縣,六腳鄉,崙陽村,159,60,103,251,56,-191,54.369,-76.096
10010080014,嘉義縣,六腳鄉,蘇厝村,227,75,138,346,89,-271,64.493,-78.324
10010080015,嘉義縣,六腳鄉,竹本村,66,28,53,150,13,-122,24.528,-81.333
10010080016,嘉義縣,六腳鄉,永賢村,40,25,30,116,10,-91,33.333,-78.448
10010080017,嘉義縣,六腳鄉,魚寮村,62,42,61,151,1,-109,1.639,-72.185
10010080018,嘉義縣,六腳鄉,潭墘村,125,50,98,194,27,-144,27.551,-74.227
10010080021,嘉義縣,六腳鄉,六腳村,111,33,107,162,4,-129,3.738,-79.63
10010080022,嘉義縣,六腳鄉,六南村,63,29,59,112,4,-83,6.78,-74.107
10010080023,嘉義縣,六腳鄉,崩山村,82,33,78,160,4,-127,5.128,-79.375
10010080024,嘉義縣,六腳鄉,古林村,66,41,52,212,14,-171,26.923,-80.66
10010080025,嘉義縣,六腳鄉,更寮村,73,41,55,139,18,-98,32.727,-70.504
10010090001,嘉義縣,東石鄉,東石村,272,107,226,443,46,-336,20.354,-75.847
10010090002,嘉義縣,東石鄉,猿樹村,107,38,105,195,2,-157,1.905,-80.513
10010090003,嘉義縣,東石鄉,型厝村,179,53,155,262,24,-209,15.484,-79.771
10010090004,嘉義縣,東石鄉,塭港村,231,68,225,315,6,-247,2.667,-78.413
10010090005,嘉義縣,東石鄉,三家村,143,43,118,207,25,-164,21.186,-79.227
10010090006,嘉義縣,東石鄉,永屯村,129,39,89,119,40,-80,44.944,-67.227
10010090007,嘉義縣,東石鄉,海埔村,57,16,52,84,5,-68,9.615,-80.952
10010090008,嘉義縣,東石鄉,龍港村,160,24,156,141,4,-117,2.564,-82.979
10010090009,嘉義縣,東石鄉,副瀨村,132,42,103,212,29,-170,28.155,-80.189
10010090010,嘉義縣,東石鄉,下揖村,64,49,77,176,-13,-127,-16.883,-72.159
10010090011,嘉義縣,東石鄉,頂揖村,35,20,54,88,-19,-68,-35.185,-77.273
10010090012,嘉義縣,東石鄉,溪下村,108,24,105,157,3,-133,2.857,-84.713
10010090022,嘉義縣,東石鄉,港口村,46,14,32,53,14,-39,43.75,-73.585
10010090023,嘉義縣,東石鄉,鰲鼓村,143,41,132,282,11,-241,8.333,-85.461
10010090013,嘉義縣,東石鄉,港墘村,160,80,164,303,-4,-223,-2.439,-73.597
10010090014,嘉義縣,東石鄉,蔦松村,107,31,93,181,14,-150,15.054,-82.873
10010090015,嘉義縣,東石鄉,圍潭村,86,35,78,142,8,-107,10.256,-75.352
10010090016,嘉義縣,東石鄉,洲仔村,94,33,81,165,13,-132,16.049,-80.0
10010090017,嘉義縣,東石鄉,東崙村,84,23,86,144,-2,-121,-2.326,-84.028
10010090018,嘉義縣,東石鄉,西崙村,163,77,142,269,21,-192,14.789,-71.375
10010090019,嘉義縣,東石鄉,塭仔村,110,63,70,261,40,-198,57.143,-75.862
10010090020,嘉義縣,東石鄉,網寮村,174,54,153,221,21,-167,13.725,-75.566
10010090021,嘉義縣,東石鄉,掌潭村,124,46,130,195,-6,-149,-4.615,-76.41
10010020001,嘉義縣,朴子市,安福里,342,130,338,378,4,-248,1.183,-65.608
10010020002,嘉義縣,朴子市,平和里,423,145,420,526,3,-381,0.714,-72.433
10010020003,嘉義縣,朴子市,內厝里,191,130,176,306,15,-176,8.523,-57.516
10010020004,嘉義縣,朴子市,開元里,64,40,59,118,5,-78,8.475,-66.102
10010020006,嘉義縣,朴子市,中正里,115,62,120,173,-5,-111,-4.167,-64.162
10010020005,嘉義縣,朴子市,順天里,104,49,102,157,2,-108,1.961,-68.79
10010020007,嘉義縣,朴子市,博厚里,165,55,121,205,44,-150,36.364,-73.171
10010020008,嘉義縣,朴子市,文化里,310,115,290,414,20,-299,6.897,-72.222
10010020009,嘉義縣,朴子市,永和里,410,186,304,630,106,-444,34.868,-70.476
10010020010,嘉義縣,朴子市,竹圍里,796,330,756,980,40,-650,5.291,-66.327
10010020011,嘉義縣,朴子市,新寮里,99,40,78,162,21,-122,26.923,-75.309
10010020012,嘉義縣,朴子市,双溪里,68,42,61,128,7,-86,11.475,-67.188
10010020013,嘉義縣,朴子市,溪口里,96,33,89,182,7,-149,7.865,-81.868
10010020014,嘉義縣,朴子市,德興里,108,94,91,319,17,-225,18.681,-70.533
10010020015,嘉義縣,朴子市,仁和里,333,129,265,405,68,-276,25.66,-68.148
10010020016,嘉義縣,朴子市,大鄉里,503,189,394,713,109,-524,27.665,-73.492
10010020017,嘉義縣,朴子市,大葛里,574,160,435,648,139,-488,31.954,-75.309
10010020018,嘉義縣,朴子市,佳禾里,111,61,84,164,27,-103,32.143,-62.805
10010020019,嘉義縣,朴子市,竹村里,200,79,150,260,50,-181,33.333,-69.615
10010020020,嘉義縣,朴子市,崁前里,96,43,104,221,-8,-178,-7.692,-80.543
10010020022,嘉義縣,朴子市,崁後里,95,51,79,192,16,-141,20.253,-73.438
10010020021,嘉義縣,朴子市,順安里,33,20,31,79,2,-59,6.452,-74.684
10010020023,嘉義縣,朴子市,德家里,87,52,72,189,15,-137,20.833,-72.487
10010020024,嘉義縣,朴子市,新庄里,96,43,114,154,-18,-111,-15.789,-72.078
10010020025,嘉義縣,朴子市,梅華里,122,74,84,332,38,-258,45.238,-77.711
10010020026,嘉義縣,朴子市,松華里,106,103,93,330,13,-227,13.978,-68.788
10010020027,嘉義縣,朴子市,南竹里,53,54,31,166,22,-112,70.968,-67.47
10010010001,嘉義縣,太保市,太保里,454,129,393,479,61,-350,15.522,-73.069
10010010002,嘉義縣,太保市,後庄里,51,32,41,148,10,-116,24.39,-78.378
10010010003,嘉義縣,太保市,前潭里,193,86,195,423,-2,-337,-1.026,-79.669
10010010004,嘉義縣,太保市,後潭里,250,91,271,458,-21,-367,-7.749,-80.131
10010010005,嘉義縣,太保市,梅埔里,207,41,174,296,33,-255,18.966,-86.149
10010010006,嘉義縣,太保市,春珠里,195,87,119,262,76,-175,63.866,-66.794
10010010007,嘉義縣,太保市,崙頂里,158,40,127,203,31,-163,24.409,-80.296
10010010018,嘉義縣,太保市,安仁里,508,124,481,560,27,-436,5.613,-77.857
10010010008,嘉義縣,太保市,東勢里,368,118,323,443,45,-325,13.932,-73.363
10010010009,嘉義縣,太保市,新埤里,215,82,143,345,72,-263,50.35,-76.232
10010010010,嘉義縣,太保市,舊埤里,479,186,483,426,-4,-240,-0.828,-56.338
10010010011,嘉義縣,太保市,田尾里,117,38,100,192,17,-154,17.0,-80.208
10010010012,嘉義縣,太保市,港尾里,122,32,80,139,42,-107,52.5,-76.978
10010010013,嘉義縣,太保市,過溝里,664,242,478,918,186,-676,38.912,-73.638
10010010014,嘉義縣,太保市,麻寮里,836,264,597,1080,239,-816,40.034,-75.556
10010010015,嘉義縣,太保市,南新里,267,129,210,502,57,-373,27.143,-74.303
10010010016,嘉義縣,太保市,北新里,573,199,386,728,187,-529,48.446,-72.665
10010010017,嘉義縣,太保市,埤鄉里,116,51,105,167,11,-116,10.476,-69.461
10010030001,嘉義縣,布袋鎮,岱江里,101,32,114,116,-13,-84,-11.404,-72.414
10010030002,嘉義縣,布袋鎮,九龍里,59,11,66,78,-7,-67,-10.606,-85.897
10010030003,嘉義縣,布袋鎮,岑海里,343,106,353,439,-10,-333,-2.833,-75.854
10010030004,嘉義縣,布袋鎮,興中里,170,54,161,223,9,-169,5.59,-75.785
10010030005,嘉義縣,布袋鎮,光復里,328,132,303,378,25,-246,8.251,-65.079
10010030006,嘉義縣,布袋鎮,見龍里,121,51,107,195,14,-144,13.084,-73.846
10010030007,嘉義縣,布袋鎮,新厝里,131,25,92,105,39,-80,42.391,-76.19
10010030008,嘉義縣,布袋鎮,龍江里,105,41,101,128,4,-87,3.96,-67.969
10010030018,嘉義縣,布袋鎮,振寮里,138,30,127,113,11,-83,8.661,-73.451
10010030019,嘉義縣,布袋鎮,西安里,151,72,154,266,-3,-194,-1.948,-72.932
10010030021,嘉義縣,布袋鎮,中安里,133,99,132,340,1,-241,0.758,-70.882
10010030020,嘉義縣,布袋鎮,東安里,163,93,153,386,10,-293,6.536,-75.907
10010030022,嘉義縣,布袋鎮,樹林里,81,49,65,129,16,-80,24.615,-62.016
10010030023,嘉義縣,布袋鎮,貴舍里,59,40,57,180,2,-140,3.509,-77.778
10010030013,嘉義縣,布袋鎮,永安里,161,50,165,196,-4,-146,-2.424,-74.49
10010030014,嘉義縣,布袋鎮,東港里,269,114,228,457,41,-343,17.982,-75.055
10010030015,嘉義縣,布袋鎮,江山里,47,10,49,56,-2,-46,-4.082,-82.143
10010030016,嘉義縣,布袋鎮,菜舖里,66,17,56,82,10,-65,17.857,-79.268
10010030017,嘉義縣,布袋鎮,考試里,43,29,41,85,2,-56,4.878,-65.882
10010030009,嘉義縣,布袋鎮,新岑里,97,43,116,273,-19,-230,-16.379,-84.249
10010030010,嘉義縣,布袋鎮,新民里,147,61,138,244,9,-183,6.522,-75.0
10010030011,嘉義縣,布袋鎮,復興里,315,108,266,493,49,-385,18.421,-78.093
10010030012,嘉義縣,布袋鎮,好美里,126,30,106,226,20,-196,18.868,-86.726
10010100001,嘉義縣,義竹鄉,岸腳村,93,34,87,173,6,-139,6.897,-80.347
10010100002,嘉義縣,義竹鄉,義竹村,208,107,194,411,14,-304,7.216,-73.966
10010100003,嘉義縣,義竹鄉,六桂村,209,54,196,257,13,-203,6.633,-78.988
10010100004,嘉義縣,義竹鄉,仁里村,139,60,158,196,-19,-136,-12.025,-69.388
10010100005,嘉義縣,義竹鄉,傳芳村,98,41,101,179,-3,-138,-2.97,-77.095
10010100006,嘉義縣,義竹鄉,頭竹村,136,76,143,321,-7,-245,-4.895,-76.324
10010100007,嘉義縣,義竹鄉,五厝村,47,19,53,95,-6,-76,-11.321,-80.0
10010100008,嘉義縣,義竹鄉,中平村,76,26,77,94,-1,-68,-1.299,-72.34
10010100009,嘉義縣,義竹鄉,埤前村,136,26,122,199,14,-173,11.475,-86.935
10010100010,嘉義縣,義竹鄉,平溪村,57,14,58,115,-1,-101,-1.724,-87.826
10010100011,嘉義縣,義竹鄉,後鎮村,71,20,82,101,-11,-81,-13.415,-80.198
10010100012,嘉義縣,義竹鄉,北華村,85,42,95,152,-10,-110,-10.526,-72.368
10010100013,嘉義縣,義竹鄉,新店村,205,72,182,297,23,-225,12.637,-75.758
10010100014,嘉義縣,義竹鄉,東過村,97,31,91,150,6,-119,6.593,-79.333
10010100015,嘉義縣,義竹鄉,西過村,80,25,74,186,6,-161,8.108,-86.559
10010100016,嘉義縣,義竹鄉,官和村,70,31,57,230,13,-199,22.807,-86.522
10010100017,嘉義縣,義竹鄉,官順村,32,15,52,95,-20,-80,-38.462,-84.211
10010100018,嘉義縣,義竹鄉,新富村,65,21,93,89,-28,-68,-30.108,-76.404
10010100019,嘉義縣,義竹鄉,東光村,93,47,89,203,4,-156,4.494,-76.847
10010100020,嘉義縣,義竹鄉,東榮村,52,33,51,100,1,-67,1.961,-67.0
10010100021,嘉義縣,義竹鄉,龍蛟村,58,38,69,130,-11,-92,-15.942,-70.769
10010100022,嘉義縣,義竹鄉,溪洲村,92,65,79,216,13,-151,16.456,-69.907
10010110001,嘉義縣,鹿草鄉,後寮村,47,32,44,134,3,-102,6.818,-76.119
10010110002,嘉義縣,鹿草鄉,鹿東村,62,40,59,159,3,-119,5.085,-74.843
10010110003,嘉義縣,鹿草鄉,鹿草村,198,74,154,308,44,-234,28.571,-75.974
10010110004,嘉義縣,鹿草鄉,西井村,182,83,190,285,-8,-202,-4.211,-70.877
10010110005,嘉義縣,鹿草鄉,豊稠村,90,20,82,98,8,-78,9.756,-79.592
10010110006,嘉義縣,鹿草鄉,重寮村,127,74,112,284,15,-210,13.393,-73.944
10010110007,嘉義縣,鹿草鄉,施家村,46,33,42,114,4,-81,9.524,-71.053
10010110008,嘉義縣,鹿草鄉,下潭村,70,64,72,255,-2,-191,-2.778,-74.902
10010110009,嘉義縣,鹿草鄉,光潭村,97,78,89,294,8,-216,8.989,-73.469
10010110010,嘉義縣,鹿草鄉,碧潭村,132,39,132,198,0,-159,0.0,-80.303
10010110011,嘉義縣,鹿草鄉,松竹村,108,38,119,176,-11,-138,-9.244,-78.409
10010110012,嘉義縣,鹿草鄉,竹山村,118,44,87,256,31,-212,35.632,-82.812
10010110013,嘉義縣,鹿草鄉,後堀村,178,65,149,287,29,-222,19.463,-77.352
10010110014,嘉義縣,鹿草鄉,三角村,251,104,174,402,77,-298,44.253,-74.129
10010110015,嘉義縣,鹿草鄉,下麻村,103,45,112,165,-9,-120,-8.036,-72.727
10010120001,嘉義縣,水上鄉,水上村,813,275,671,955,142,-680,21.162,-71.204
10010120002,嘉義縣,水上鄉,水頭村,517,154,468,585,49,-431,10.47,-73.675
10010120006,嘉義縣,水上鄉,粗溪村,292,95,270,340,22,-245,8.148,-72.059
10010120007,嘉義縣,水上鄉,下寮村,395,130,303,445,92,-315,30.363,-70.787
10010120008,嘉義縣,水上鄉,三和村,321,92,309,369,12,-277,3.883,-75.068
10010120009,嘉義縣,水上鄉,回歸村,92,30,86,96,6,-66,6.977,-68.75
10010120003,嘉義縣,水上鄉,大堀村,288,196,225,552,63,-356,28.0,-64.493
10010120004,嘉義縣,水上鄉,大崙村,347,119,264,522,83,-403,31.439,-77.203
10010120005,嘉義縣,水上鄉,塗溝村,117,60,98,246,19,-186,19.388,-75.61
10010120013,嘉義縣,水上鄉,龍德村,288,145,233,602,55,-457,23.605,-75.914
10010120014,嘉義縣,水上鄉,溪洲村,163,105,151,274,12,-169,7.947,-61.679
10010120010,嘉義縣,水上鄉,三鎮村,129,40,139,102,-10,-62,-7.194,-60.784
10010120011,嘉義縣,水上鄉,靖和村,105,49,91,123,14,-74,15.385,-60.163
10010120012,嘉義縣,水上鄉,南和村,215,105,174,345,41,-240,23.563,-69.565
10010120017,嘉義縣,水上鄉,柳新村,364,98,313,372,51,-274,16.294,-73.656
10010120015,嘉義縣,水上鄉,柳林村,346,139,264,449,82,-310,31.061,-69.042
10010120016,嘉義縣,水上鄉,柳鄉村,295,141,264,530,31,-389,11.742,-73.396
10010120025,嘉義縣,水上鄉,內溪村,237,80,171,263,66,-183,38.596,-69.582
10010120018,嘉義縣,水上鄉,寬士村,656,315,621,1027,35,-712,5.636,-69.328
10010120019,嘉義縣,水上鄉,民生村,530,230,501,707,29,-477,5.788,-67.468
10010120026,嘉義縣,水上鄉,義興村,145,70,117,189,28,-119,23.932,-62.963
10010120021,嘉義縣,水上鄉,中庄村,301,115,257,387,44,-272,17.121,-70.284
10010120020,嘉義縣,水上鄉,忠和村,295,118,308,403,-13,-285,-4.221,-70.72
10010120022,嘉義縣,水上鄉,南鄉村,124,52,125,213,-1,-161,-0.8,-75.587
10010120023,嘉義縣,水上鄉,三界村,138,87,135,245,3,-158,2.222,-64.49
10010120024,嘉義縣,水上鄉,國姓村,128,66,130,295,-2,-229,-1.538,-77.627
10010060001,嘉義縣,溪口鄉,溪東村,211,89,189,323,22,-234,11.64,-72.446
10010060002,嘉義縣,溪口鄉,溪西村,94,40,103,188,-9,-148,-8.738,-78.723
10010060003,嘉義縣,溪口鄉,溪北村,86,24,71,162,15,-138,21.127,-85.185
10010060011,嘉義縣,溪口鄉,柳溝村,197,79,158,343,39,-264,24.684,-76.968
10010060012,嘉義縣,溪口鄉,疊溪村,183,82,115,278,68,-196,59.13,-70.504
10010060013,嘉義縣,溪口鄉,妙崙村,110,44,76,165,34,-121,44.737,-73.333
10010060014,嘉義縣,溪口鄉,坪頂村,127,65,100,259,27,-194,27.0,-74.903
10010060006,嘉義縣,溪口鄉,柴林村,80,56,73,208,7,-152,9.589,-73.077
10010060007,嘉義縣,溪口鄉,林腳村,93,36,60,200,33,-164,55.0,-82.0
10010060008,嘉義縣,溪口鄉,美南村,124,64,86,276,38,-212,44.186,-76.812
10010060009,嘉義縣,溪口鄉,美北村,149,62,100,230,49,-168,49.0,-73.043
10010060010,嘉義縣,溪口鄉,本厝村,164,50,123,245,41,-195,33.333,-79.592
10010060005,嘉義縣,溪口鄉,游西村,64,57,52,208,12,-151,23.077,-72.596
10010060004,嘉義縣,溪口鄉,游東村,110,94,97,297,13,-203,13.402,-68.35
10010040001,嘉義縣,大林鎮,東林里,90,50,79,137,11,-87,13.924,-63.504
10010040002,嘉義縣,大林鎮,西林里,359,158,326,488,33,-330,10.123,-67.623
10010040003,嘉義縣,大林鎮,吉林里,204,64,173,211,31,-147,17.919,-69.668
10010040004,嘉義縣,大林鎮,平林里,1177,415,1045,1331,132,-916,12.632,-68.82
10010040005,嘉義縣,大林鎮,明華里,180,74,167,310,13,-236,7.784,-76.129
10010040006,嘉義縣,大林鎮,明和里,381,124,306,349,75,-225,24.51,-64.47
10010040007,嘉義縣,大林鎮,排路里,89,54,65,203,24,-149,36.923,-73.399
10010040008,嘉義縣,大林鎮,西結里,77,46,58,202,19,-156,32.759,-77.228
10010040009,嘉義縣,大林鎮,湖北里,88,63,82,182,6,-119,7.317,-65.385
10010040010,嘉義縣,大林鎮,大糖里,36,11,41,33,-5,-22,-12.195,-66.667
10010040011,嘉義縣,大林鎮,大美里,273,78,242,308,31,-230,12.81,-74.675
10010040012,嘉義縣,大林鎮,過溪里,221,108,193,330,28,-222,14.508,-67.273
10010040013,嘉義縣,大林鎮,中坑里,214,100,195,330,19,-230,9.744,-69.697
10010040014,嘉義縣,大林鎮,上林里,144,31,133,184,11,-153,8.271,-83.152
10010040015,嘉義縣,大林鎮,中林里,225,132,190,453,35,-321,18.421,-70.861
10010040016,嘉義縣,大林鎮,三和里,371,130,310,423,61,-293,19.677,-69.267
10010040017,嘉義縣,大林鎮,溝背里,159,52,126,220,33,-168,26.19,-76.364
10010040018,嘉義縣,大林鎮,義和里,158,46,123,131,35,-85,28.455,-64.885
10010040019,嘉義縣,大林鎮,內林里,132,35,117,154,15,-119,12.821,-77.273
